date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,0
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,0
Sep 2011,0
Oct 2011,0
Nov 2011,0
Dec 2011,0
Jan 2012,0
Feb 2012,0
Mar 2012,0
Apr 2012,0
May 2012,0
Jun 2012,0
Jul 2012,0
Aug 2012,0
Sep 2012,0
Oct 2012,170
Nov 2012,2047
Dec 2012,137
Jan 2013,37
Feb 2013,0
Mar 2013,3
Apr 2013,1
May 2013,1
Jun 2013,7
Jul 2013,52
Aug 2013,387
Sep 2013,1095
Oct 2013,507
Nov 2013,63
Dec 2013,61
Jan 2014,27
Feb 2014,8
Mar 2014,55
Apr 2014,13
May 2014,44
Jun 2014,77
Jul 2014,43
Aug 2014,47
Sep 2014,0
Oct 2014,12
Nov 2014,462
Dec 2014,272
