date,price
Nov 2009,0
Dec 2009,27
Jan 2010,31
Feb 2010,269
Mar 2010,657
Apr 2010,761
May 2010,933
Jun 2010,627
Jul 2010,780
Aug 2010,1566
Sep 2010,1058
Oct 2010,738
Nov 2010,1025
Dec 2010,1008
Jan 2011,545
Feb 2011,281
Mar 2011,1681
Apr 2011,398
May 2011,512
Jun 2011,518
Jul 2011,717
Aug 2011,972
Sep 2011,1336
Oct 2011,1129
Nov 2011,1001
Dec 2011,1259
Jan 2012,1418
Feb 2012,1007
Mar 2012,1066
Apr 2012,882
May 2012,1636
Jun 2012,413
Jul 2012,382
Aug 2012,849
Sep 2012,546
Oct 2012,7583
Nov 2012,3278
Dec 2012,623
Jan 2013,391
Feb 2013,417
Mar 2013,1500
Apr 2013,5637
May 2013,605
Jun 2013,906
Jul 2013,2435
Aug 2013,5559
Sep 2013,2961
Oct 2013,5734
Nov 2013,4778
Dec 2013,5339
Jan 2014,2964
Feb 2014,2007
Mar 2014,4657
Apr 2014,2499
May 2014,14606
Jun 2014,6858
Jul 2014,9014
Aug 2014,9679
Sep 2014,11460
Oct 2014,5842
Nov 2014,4545
Dec 2014,3370
