date,price
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,0
Jul 2010,0
Aug 2010,0
Sep 2010,0
Oct 2010,0
Nov 2010,0
Dec 2010,0
Jan 2011,0
Feb 2011,1
Mar 2011,0
Apr 2011,0
May 2011,0
Jun 2011,0
Jul 2011,0
Aug 2011,25
Sep 2011,378
Oct 2011,240
Nov 2011,255
Dec 2011,651
Jan 2012,252
Feb 2012,923
Mar 2012,2554
Apr 2012,1335
May 2012,1511
Jun 2012,1205
Jul 2012,1779
Aug 2012,1513
Sep 2012,1005
Oct 2012,4668
Nov 2012,3553
Dec 2012,802
Jan 2013,1636
Feb 2013,1855
Mar 2013,6225
Apr 2013,6574
May 2013,3425
Jun 2013,12868
Jul 2013,5558
Aug 2013,10098
Sep 2013,3153
Oct 2013,11569
Nov 2013,12290
Dec 2013,4122
Jan 2014,3786
Feb 2014,4149
Mar 2014,6962
Apr 2014,4982
May 2014,8318
Jun 2014,3179
Jul 2014,9001
Aug 2014,12239
Sep 2014,6127
Oct 2014,2968
Nov 2014,3061
Dec 2014,1739
