date,price
Feb 2003,18
Mar 2003,5
Apr 2003,18
May 2003,20
Jun 2003,4
Jul 2003,145
Aug 2003,217
Sep 2003,338
Oct 2003,319
Nov 2003,380
Dec 2003,774
Jan 2004,498
Feb 2004,1062
Mar 2004,1330
Apr 2004,905
May 2004,2090
Jun 2004,2666
Jul 2004,5399
Aug 2004,7390
Sep 2004,6871
Oct 2004,9451
Nov 2004,11218
Dec 2004,11201
Jan 2005,10707
Feb 2005,9780
Mar 2005,20549
Apr 2005,16536
May 2005,17226
Jun 2005,19023
Jul 2005,17788
Aug 2005,21776
Sep 2005,18602
Oct 2005,22368
Nov 2005,25598
Dec 2005,22551
Jan 2006,20657
Feb 2006,20627
Mar 2006,23679
Apr 2006,23923
May 2006,26798
Jun 2006,28767
Jul 2006,28512
Aug 2006,38002
Sep 2006,34122
Oct 2006,29390
Nov 2006,29870
Dec 2006,28714
Jan 2007,27873
Feb 2007,16397
Mar 2007,28605
Apr 2007,27577
May 2007,31061
Jun 2007,30860
Jul 2007,30797
Aug 2007,34590
Sep 2007,32611
Oct 2007,40985
Nov 2007,34820
Dec 2007,31021
Jan 2008,34764
Feb 2008,21901
Mar 2008,28091
Apr 2008,43643
May 2008,49628
Jun 2008,40709
Jul 2008,45106
Aug 2008,46808
Sep 2008,45287
Oct 2008,45589
Nov 2008,41505
Dec 2008,36725
Jan 2009,29630
Feb 2009,44792
Mar 2009,52819
Apr 2009,53357
May 2009,49480
Jun 2009,51114
Jul 2009,51779
Aug 2009,43460
Sep 2009,40877
Oct 2009,37815
Nov 2009,36021
Dec 2009,36192
Jan 2010,35224
Feb 2010,29287
Mar 2010,41767
Apr 2010,39213
May 2010,38580
Jun 2010,35310
Jul 2010,36160
Aug 2010,37911
Sep 2010,37702
Oct 2010,37266
Nov 2010,33292
Dec 2010,35297
Jan 2011,48620
Feb 2011,56925
Mar 2011,78988
Apr 2011,70872
May 2011,83982
Jun 2011,70746
Jul 2011,56555
Aug 2011,66400
Sep 2011,55810
Oct 2011,55190
Nov 2011,55753
Dec 2011,54814
Jan 2012,45128
Feb 2012,50397
Mar 2012,56964
Apr 2012,52214
May 2012,53710
Jun 2012,48673
Jul 2012,44614
Aug 2012,47509
Sep 2012,41187
Oct 2012,40563
Nov 2012,36038
Dec 2012,32073
Jan 2013,30352
Feb 2013,24736
Mar 2013,38839
Apr 2013,39287
May 2013,35124
Jun 2013,29772
Jul 2013,32484
Aug 2013,31981
Sep 2013,27319
Oct 2013,25911
Nov 2013,22627
Dec 2013,20613
Jan 2014,20343
Feb 2014,18861
Mar 2014,23686
Apr 2014,23657
May 2014,23952
Jun 2014,24716
Jul 2014,25293
Aug 2014,4628
