date,price
Feb 2003,0
Mar 2003,0
Apr 2003,0
May 2003,0
Jun 2003,0
Jul 2003,0
Aug 2003,0
Sep 2003,0
Oct 2003,0
Nov 2003,0
Dec 2003,0
Jan 2004,0
Feb 2004,0
Mar 2004,0
Apr 2004,0
May 2004,0
Jun 2004,0
Jul 2004,0
Aug 2004,0
Sep 2004,0
Oct 2004,0
Nov 2004,0
Dec 2004,0
Jan 2005,0
Feb 2005,0
Mar 2005,0
Apr 2005,0
May 2005,0
Jun 2005,0
Jul 2005,0
Aug 2005,0
Sep 2005,0
Oct 2005,0
Nov 2005,0
Dec 2005,0
Jan 2006,0
Feb 2006,0
Mar 2006,0
Apr 2006,0
May 2006,0
Jun 2006,0
Jul 2006,0
Aug 2006,0
Sep 2006,0
Oct 2006,0
Nov 2006,0
Dec 2006,0
Jan 2007,0
Feb 2007,0
Mar 2007,0
Apr 2007,0
May 2007,0
Jun 2007,0
Jul 2007,0
Aug 2007,0
Sep 2007,0
Oct 2007,0
Nov 2007,0
Dec 2007,0
Jan 2008,0
Feb 2008,0
Mar 2008,0
Apr 2008,0
May 2008,0
Jun 2008,0
Jul 2008,0
Aug 2008,0
Sep 2008,0
Oct 2008,0
Nov 2008,0
Dec 2008,0
Jan 2009,0
Feb 2009,0
Mar 2009,0
Apr 2009,0
May 2009,0
Jun 2009,0
Jul 2009,0
Aug 2009,0
Sep 2009,0
Oct 2009,0
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,69
Jul 2010,136
Aug 2010,170
Sep 2010,102
Oct 2010,87
Nov 2010,90
Dec 2010,109
Jan 2011,79
Feb 2011,76
Mar 2011,105
Apr 2011,150
May 2011,206
Jun 2011,81
Jul 2011,118
Aug 2011,112
Sep 2011,90
Oct 2011,58
Nov 2011,112
Dec 2011,77
Jan 2012,75
Feb 2012,54
Mar 2012,42
Apr 2012,55
May 2012,54
Jun 2012,73
Jul 2012,57
Aug 2012,70
Sep 2012,203
Oct 2012,116
Nov 2012,57
Dec 2012,67
Jan 2013,34
Feb 2013,59
Mar 2013,18
Apr 2013,48
May 2013,67
Jun 2013,37
Jul 2013,26
Aug 2013,29
Sep 2013,16
Oct 2013,47
Nov 2013,47
Dec 2013,60
Jan 2014,28
Feb 2014,4
Mar 2014,22
Apr 2014,9
May 2014,41
Jun 2014,26
Jul 2014,82
Aug 2014,14
