date,price
Feb 2003,0
Mar 2003,0
Apr 2003,0
May 2003,0
Jun 2003,0
Jul 2003,0
Aug 2003,0
Sep 2003,0
Oct 2003,0
Nov 2003,0
Dec 2003,0
Jan 2004,0
Feb 2004,0
Mar 2004,0
Apr 2004,0
May 2004,0
Jun 2004,0
Jul 2004,0
Aug 2004,0
Sep 2004,0
Oct 2004,0
Nov 2004,0
Dec 2004,0
Jan 2005,0
Feb 2005,0
Mar 2005,0
Apr 2005,0
May 2005,0
Jun 2005,0
Jul 2005,0
Aug 2005,0
Sep 2005,0
Oct 2005,0
Nov 2005,0
Dec 2005,0
Jan 2006,0
Feb 2006,0
Mar 2006,0
Apr 2006,0
May 2006,0
Jun 2006,0
Jul 2006,0
Aug 2006,0
Sep 2006,0
Oct 2006,0
Nov 2006,0
Dec 2006,0
Jan 2007,0
Feb 2007,0
Mar 2007,0
Apr 2007,0
May 2007,0
Jun 2007,0
Jul 2007,0
Aug 2007,0
Sep 2007,0
Oct 2007,0
Nov 2007,0
Dec 2007,0
Jan 2008,0
Feb 2008,0
Mar 2008,0
Apr 2008,0
May 2008,0
Jun 2008,0
Jul 2008,0
Aug 2008,0
Sep 2008,0
Oct 2008,0
Nov 2008,0
Dec 2008,0
Jan 2009,0
Feb 2009,0
Mar 2009,0
Apr 2009,0
May 2009,0
Jun 2009,0
Jul 2009,0
Aug 2009,0
Sep 2009,0
Oct 2009,0
Nov 2009,0
Dec 2009,0
Jan 2010,0
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,0
Jun 2010,61
Jul 2010,124
Aug 2010,152
Sep 2010,93
Oct 2010,72
Nov 2010,80
Dec 2010,96
Jan 2011,142
Feb 2011,171
Mar 2011,77
Apr 2011,98
May 2011,97
Jun 2011,79
Jul 2011,51
Aug 2011,97
Sep 2011,71
Oct 2011,70
Nov 2011,52
Dec 2011,36
Jan 2012,50
Feb 2012,50
Mar 2012,60
Apr 2012,172
May 2012,107
Jun 2012,52
Jul 2012,56
Aug 2012,32
Sep 2012,52
Oct 2012,107
Nov 2012,52
Dec 2012,56
Jan 2013,32
Feb 2013,52
Mar 2013,16
Apr 2013,38
May 2013,59
Jun 2013,30
Jul 2013,19
Aug 2013,27
Sep 2013,15
Oct 2013,40
Nov 2013,33
Dec 2013,56
Jan 2014,26
Feb 2014,4
Mar 2014,21
Apr 2014,62
May 2014,24
Jun 2014,57
Jul 2014,49
Aug 2014,13
