date,price
Nov 2009,6
Dec 2009,52
Jan 2010,53
Feb 2010,203
Mar 2010,415
Apr 2010,660
May 2010,700
Jun 2010,710
Jul 2010,1352
Aug 2010,2148
Sep 2010,1521
Oct 2010,1481
Nov 2010,1706
Dec 2010,1912
Jan 2011,1020
Feb 2011,685
Mar 2011,2313
Apr 2011,1033
May 2011,1257
Jun 2011,1689
Jul 2011,1438
Aug 2011,1971
Sep 2011,2192
Oct 2011,1656
Nov 2011,1641
Dec 2011,4725
Jan 2012,2373
Feb 2012,3288
Mar 2012,6254
Apr 2012,6005
May 2012,6590
Jun 2012,5288
Jul 2012,5837
Aug 2012,7889
Sep 2012,6649
Oct 2012,8929
Nov 2012,9967
Dec 2012,5396
Jan 2013,6815
Feb 2013,5469
Mar 2013,8765
Apr 2013,12424
May 2013,7514
Jun 2013,13013
Jul 2013,11579
Aug 2013,16175
Sep 2013,9933
Oct 2013,12376
Nov 2013,13003
Dec 2013,10272
Jan 2014,11515
Feb 2014,8550
Mar 2014,16238
Apr 2014,10796
May 2014,18832
Jun 2014,16227
Jul 2014,18669
Aug 2014,17693
Sep 2014,18651
Oct 2014,14203
Nov 2014,15846
Dec 2014,6295
