date,price
Nov 2009,0
Dec 2009,25
Jan 2010,41
Feb 2010,174
Mar 2010,383
Apr 2010,603
May 2010,658
Jun 2010,674
Jul 2010,1220
Aug 2010,2008
Sep 2010,1426
Oct 2010,1345
Nov 2010,1511
Dec 2010,1277
Jan 2011,828
Feb 2011,583
Mar 2011,930
Apr 2011,715
May 2011,885
Jun 2011,1211
Jul 2011,1078
Aug 2011,1500
Sep 2011,1486
Oct 2011,846
Nov 2011,825
Dec 2011,3879
Jan 2012,1498
Feb 2012,2165
Mar 2012,4390
Apr 2012,4635
May 2012,4695
Jun 2012,4084
Jul 2012,3831
Aug 2012,4902
Sep 2012,5055
Oct 2012,6332
Nov 2012,5195
Dec 2012,2677
Jan 2013,4434
Feb 2013,3225
Mar 2013,5367
Apr 2013,7113
May 2013,4532
Jun 2013,8583
Jul 2013,7910
Aug 2013,7829
Sep 2013,4619
Oct 2013,7076
Nov 2013,8910
Dec 2013,5363
Jan 2014,8828
Feb 2014,4709
Mar 2014,10189
Apr 2014,6145
May 2014,11522
Jun 2014,7302
Jul 2014,7801
Aug 2014,7144
Sep 2014,11345
Oct 2014,5962
Nov 2014,7039
Dec 2014,3313
